subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
2014,Gunungsari,17,-6.69942185,106.68482617,Asia/Jakarta
2015,Ciasmara,17,-6.70599214,106.66176981,Asia/Jakarta
2001,Rumpin,18,-6.44000365,106.64428307,Asia/Jakarta
2002,Leuwibatu,18,-6.52817078,106.61990825,Asia/Jakarta
2003,Cidokom,18,-6.51872004,106.67452544,Asia/Jakarta
2004,Gobang,18,-6.51436851,106.64794379,Asia/Jakarta
2005,Cibodas,18,-6.48945427,106.66263427,Asia/Jakarta
2006,Rabak,18,-6.48729599,106.62961626,Asia/Jakarta
2007,Kampungsawah,18,-6.45932648,106.6324007,Asia/Jakarta
2008,Cipinang,18,-6.44326324,106.61438888,Asia/Jakarta
2009,Sukasari,18,-6.41894568,106.62237842,Asia/Jakarta
2010,Tamansari,18,-6.39801086,106.62872053,Asia/Jakarta
2011,Kertajaya,18,-6.39634969,106.60274978,Asia/Jakarta
2012,Sukamulya,18,-6.37214003,106.63228616,Asia/Jakarta
2013,Mekarsari,18,-6.37597471,106.60353013,Asia/Jakarta
2014,Mekarjaya,18,-6.53132355,106.65967594,Asia/Jakarta
2001,Curug,19,-6.49732062,106.42528297,Asia/Jakarta
